State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7487302730191684	0.011008719428621203	5.314030102394146E-4	0.004137463215397468	0.039705395677962836	0.010942435260280534	0.12095176534889195	0.007092851817770917	0.0172648288085265	0.0396348644131407
2	0.02185538668662922	0.7455221118940559	0.15404953890109718	0.06783329122344305	8.121594191158691E-4	0.0	0.0	2.295315143912248E-4	0.0	0.009697980361267532
3	1.4078604919822961E-4	0.052640166232779485	0.9120214350263438	0.001912313698083368	1.802578959629244E-5	0.0	0.0010489714729775728	1.546898097061337E-4	0.0	0.03206361192131505
4	0.007889888611990465	0.07708178665891316	0.00623272554460965	0.8464031954150524	0.06046263420134244	4.5590503410942844E-5	0.0012563961504706194	1.5584774535639127E-4	0.0	4.719351688538289E-4
5	0.0753318382976912	9.984105377777558E-4	1.1247404034143096E-5	0.050072782924133905	0.7197421876683435	0.12383864975998045	0.013812853333746553	0.006000267655417835	0.010191762418874588	0.0
6	0.010280448913364217	0.0	2.6559708051224207E-5	0.0	0.06227354041499222	0.6843088293429584	0.22051732441406302	0.006508611728198102	0.016084685478372794	0.0
7	0.0124630297681127	0.0	8.255821984459994E-5	5.413318587515762E-5	8.774316785245651E-4	0.027323135590630744	0.9524327041466615	0.001869172229701397	0.003526901647610191	0.0013709335330392
8	2.115967117493408E-4	2.731391912272038E-6	1.3623881730804763E-5	1.8346308120910687E-6	7.960761580318722E-5	1.5928712320526783E-4	4.995442806696337E-4	0.9977328294141916	8.697991525629602E-4	4.291457973627845E-4
9	0.001699576283842233	0.0	0.0	0.0	5.500471900545536E-4	0.0017380555286769924	0.003259560648513014	0.003395711368791654	0.9893570489801216	0.0
10	0.009257159400175526	9.01240196199357E-4	0.008918463531332091	3.8596495235075816E-5	0.0	0.0	0.0	0.004188406245791235	0.0	0.9766961341312669
